english,rohingya,word_type,category
crime,tobákari,n.,general
crime,botkari,n.,general
crime,golot ham,n.,general
crime,afarád,n.,general
criminal,afarádi,n.,general
criminal,mujirim,n.,general
criminal,kaanun báñgoya,n.,general
criminal,kaanun báñgede,adj.,general
criminal,hosúr óla,adj.,general
criminal,hosúri goróya,adj.,general
crimp,sul beháñgor,v.,general
cripple,théng hóraf manúic,n.,general
crisis,haassáli,n.,general
crisis,doifdocá,n.,general
crisis,mosibot,n.,general
crisis,morafúça,n.,general
crisis,cóngoth,n.,general
crisis,kráises,n.,general
crisis,tongkis,n.,general
crisis,behóran,n.,general
criteria,maayár,n.,general
criteria,maf,n.,general
criteria,mafa,n.,general
criteria,corót,n.,general
criteria,mafadan,n.,general
criteria,sóiyi golot forók gorá,n.,general
criteria,miyar,n.,general
criteria,maayir,n.,general
criteria,cílot dhola,n.,general
criteria,cíl mafa,n.,general
critical,nazuk,adj.,general
critical,ahám,adj.,general
critical,hótora,adj.,general
critical,krithikel,adj.,general
critically,nazukgorí,adv.,general
critically,hótara gorí,adv.,general
criticise,hosúri tua,v.,general
criticise,golot tua,v.,general
criticise,hosúri dór,v.,general
criticise,golot dór,v.,general
criticise,biasana gor,v.,general
criticise,wepeng gor,v.,general
criticised,hosúri tuaiyé,v.,general
criticised,hosúri tuagiyé,v.,general
crocodile,kuñírp,n.,general
crony,korib dustó,n.,general
crony,hámsaiya,n.,general
crook,jútha hol manúic,n.,general
crooked,behañ,adj.,general
crooked,therá,adj.,general
crop,bariza,n.,general
crop,bagiza,n.,general
crop,cáço,v.,general
crop,haço,v.,general
crops,bariza óll,n.,general
crops,bagiza óll,n.,general
crops,gulagala óll,n.,general
cross,fará,v.,general
cross,króss,n.,general
crouching,luçer,v. adj.,general
crouching,luçoon,n.,general
crowd,maincór zák,n.,general
crowded,záama,adj.,general
crowded,zámila,adj.,general
crowded,jam,adj.,general
crowded-roots,jádhdhuwañ,n.,general
crown,tas,n.,general
crucial,muhím,adj.,general
crucial,entaháyi,adj.,general
crucial,laazim,adj.,general
crucial,zoruri,adj.,general
cruel,berahámi zaalemi,adj.,general
cruel,oinno maincóre duk di nize kúci goréde,adj.,general
cruise,zaáñs sola kúci yá laráit,v.,general
crumb,fúana guri biskuth,n.,general
crumb,fúana guri ruthi,n.,general
crumble,báñgi guri óiye,v.,general
crumble,guriminci óiye,v.,general
crunch,tongkis,n.,general
crunch,mormoijja abas de,n. v.,general
crunchy,mormoijja,adj.,general
crusade,Musúlman arde Kriccen or larái,n.,general
crush,báñgefan sibo,v.,general
cry,hañn,v.,general
cry,han,v.,general
cry,hañde,v.,general
cry,hañda,n.,general
crying,hañda,n.,general
crying,hañder,v.,general
cub,cíngorsó,n.,general
cube,kyúb,n.,general
cube,sófaiththa,n.,general
cubical,dhoóñr hamrár bák,n.,general
cuckoo,kuilá,n.,general
cuckoo,kuilá faik,n.,general
cucumber,fól,n.,general
cuddle,bukotlo,v.,general
cuff,bazur kaff,n.,general
cuisine,rañdá bara,n.,general
culinary,rañdá lói taaluk dé,adj.,general
culminate,ahéri foóñso,v.,general
culminated,matát foóñicce,v.,general
culminated,hótom goijjé,v.,general
culmination,matát foóñsá,n.,general
culmination,ahéri matát,n.,general
culpable,hosúrir laayek dé,adj.,general
culpable,sáñzar laayek dé,adj.,general
culprit,mujrim,n.,general
culprit,mujurum,n.,general
culprit,gunágar,n.,general
culprit,afóradi,n.,general
culprit,ducí,n.,general
culprit,tarakeng,n.,general
cult,manúic yá ciz óre fuñzoon,n.,general
cultivate,kétigor,v.,general
cultivated,kétigoijjé,v.,general
cultivation,kétigorá,n.,general
cultivator,kétigoróya,n.,general
cultural,salsoloonor,adj.,general
cultural,solasolor,adj.,general
culture,salsolan,n.,general
culture,solasol,n.,general
culture,sáhafot,n.,general
culture,cóoroh,n.,general
culvert,meçi bútoror lain,n.,general
cumbersome,cúkcaikká,adj.,general
cumulative,asté asté bicí ói aiccéde,adj.,general
cumulative,bicí óiya,adj.,general
cumulative,beggín zomaiya hísafe,adj.,general
cumulus,myúlar dol,n.,general
cunning,dúka diyat salák dé,adj.,general
cunningly,hóraf salákigorí,adv.,general
cup,fiala,n.,general
cup,hoddá,n.,general
cup,kap,n.,general
cupboard,almali,n.,general
cupidity,lalsí,n.,general
cupola,gura guñit,n.,general
cupola,cóñço guñit,n.,general
cur,bekar kuñir,n.,general
curable,gomgorí faredé,adj.,general
curb,kontróul gor,v.,general
curb,kontróul ót rak,v.,general
cure,dabaigor,v.,general
cure,sehét gomgor,v.,general
cure,sehét thíkgor,v.,general
curfew,karfyú,n.,general
curfew,beil gólat ooin nifá no neela hókum,n.,general
curious,zanibéllá moncá aséde,adj.,general
curious,zaittou saáde,adj.,general
currency,thiañ,n.,general
currency,foisá,n.,general
current,ehónor,adj.,general
current,yaar,adj.,general
current,bortoman,adj.,general
current,bijilir kaáron,n.,general
currently,ehón,adv.,general
currently,ethaim ot,adv.,general
currently,fílhal,adv.,general
currently,bortaman,adv.,general
curricula,karikula,n.,general
curriculum,cikaibóude ciz,n.,general
curriculum,fonnár forugram,n.,general
curriculum,nesab,n.,general
curry,sálon,n.,general
curtail,baiththá gor,n.,general
curtain,foroda,n.,general
curtain,foroda hoor,n.,general
curtsey,añçú behañgorí izzot gorá,n.,general
curve,beháñ lain,n.,general
curved,gúañya,adj.,general
curved,fakkáraiya,adj.,general
cushion,dhákor balúic,n.,general
cushion,hañsar balúic,n.,general
cushion,hátor balúic,n.,general
custody,keit,n.,general
custody,hérasot,n.,general
custody,kobza,n.,general
custody,negarani,n.,general
custody,nozorbondi,n.,general
custody,dóri raká,n.,general
custody,bongorí raká,n.,general
custody,dóri era,n.,general
custody,bongorí era,n.,general
custom,rit,n.,general
custom,háaic mozin,adj. n.,general
customer,gaák,n.,general
customize,háaic mozin séthgoró,v.,general
cut,hath,n.,general
cut,haça,n.,general
cut,haiththé,v.,general
cute,cúndor,adj.,general
cute,tes demak,adj.,general
cuticle,baáror sam,n.,general
cutlass,záñsir baiththá súri,n.,general
cutler,haçoni thík goróya,n.,general
cutlet,masór hándha,n.,general
cutlet,gussor hándha,n.,general
cycle,sairkel,n.,general
cycle,sak,n.,general
cycle,fak,n.,general
cycle,gúra,n.,general
cycle,sakka,n.,general
cycle,sorhá,n.,general
cycle,dour,n.,general
cycle,doura,n.,general
cycle,caakkuru,n.,general
cycle,lagaiya,n.,general
cycle,thaim loi fak di aiyóon,n.,general
cyclist,sairkél soróya,n.,general
cyclist,théngari soloya,n.,general
cyclone,tuán,n.,general
cyclone,zóretuán,n.,general
cyclopaedia,beggín aséde kitab,n.,general
cylinder,selendhar,n.,general
cymbal,záñss,n.,general
cynic,egaza hosúri dekéde manúic zartú honó insán ór torkir uore biccác nái,n.,general
cynical,úde hosúri dekéde,adj.,general
dab,asté asté bazá,v.,general
dab,assé assé gutámar,v.,general
dabble,fanít áte ténge mari kéloh,v.,general
dacoit,dhahaith,n.,general
dacoit,hátiyar ola hóraf manúic,n.,general
dad,baf,n.,general
daddy,baf,n.,general
daffodil,ek kisím ór óloiddá fúl,n.,general
dagger,baiththá moinna dui háñsa dár súri,n.,general
dahlia,dhelia fúl,n.,general
daily,fortídin,adj.,general
daily,fortídinna,adj.,general
daily food,fottídin or hána,n.,general
dainty,noromsórom,adj.,general
dainty,cúndoijja,adj.,general
dainty,bálalagede,adj.,general
dairy,dhaiari,n.,general
dairy,fottídin ór rekódh kitab,n.,general
damage,nuksan gor,v.,general
damage,hóraf gor,v.,general
damage,nac gor,v.,general
damage,hótara gor,v.,general
damage,tobá gor,v.,general
damage,luksan gor,v.,general
damage,borbad gor,v.,general
damaged,hóraf óigiyói,v.,general
damaged,borbat óigiyói,v.,general
damaged,báñgigiyói,v.,general
damask,dhizái goijjá recóm hoor,n.,general
dame,beçi,n.,general
dame,górowala,n.,general
damn,hosúride,n.,general
damn,sañzade,n.,general
damn,hóraf hoó,v.,general
damp,bíza,adj.,general
dampen,bíza ófan gor,v.,general
dampen,bíza,v.,general
damsel,hoicca maiyafua,n.,general
damson,damson gula,n.,general
dance,nas,n. v.,general
dance,nasa,n.,general
dance,nase,v.,general
dance,naso,v.,general
dance,nasi,v.,general
dancer,nasoya,n.,general
dandruff,sussuri,n.,general
dandruff,matár sussuri,n.,general
dandy,hoor cokól bicí kiyár goróya,n.,general
danger,hótara,n.,general
danger,hótornak,n.,general
danger,bói,n.,general
dangerous,hótara,adj.,general
dangerous,hótornak,adj.,general
dare,hímmot gor,v.,general
dare,cóhos gor,v.,general
dare,hóusala rak,v.,general
daring,hímmoti,adj.,general
daring,cóozi,adj.,general
dark,añdár,adj.,general
dark,andár,adj.,general
dark,hala,adj.,general
darken,andár gor,v.,general
darkness,añdár,n.,general
darkness,hala rong,n.,general
darling,ador ola jiníc,n.,general
darling,ador ola,adj.,general
darn,tali de,v.,general
dart,asimbit búnggori duñre,v.,general
dashboard,muúmorbudh,n.,general
data,dhetha,n.,general
data,maalumat,n.,general
database,dhethabéis,n.,general
database,komputar maalumator nezám,n.,general
date,tarík,n.,general
date,hájur,n.,general
date,kúrma,n.,general
date of birth,zonom tarík,n.,general
date of birth,zormo tarík,n.,general
dated,tarík diya,adj.,general
dated,tarík óla,adj.,general
dates,hájur,n.,general
dates,házur,n.,general
dates,kúrma,n.,general
daughter,zíi,n.,general
daughter,zérfua,n.,general
daughter,futúni,n.,general
daughter,maiya,n.,general
daughter-in-law,bou,n.,general
daunt,dhorlaga,v.,general
daunt,frecani gor,v.,general
dawdle,thaim borbat de,v.,general
dawn,foóila foór fáiththe thaim,n.,general
day,din,n.,general
daylight,din or foór,n.,general
daze,matá gúra,v.,general
daze,matá sokkor aiyé,v.,general
dazed,matá gúñaigiyói,v.,general
dazed,matá fakkái giyói,v.,general
dazed,gobraigiyói,v.,general
dazzle,laáith ór suk hoñra,v.,general
de,uldha gor,v.,general
de,waapes an,v.,general
de,dubara bodoli an,v.,general
dead,mora,adj. n.,general
dead body,murda,n.,general
dead body,moota,n.,general
dead body,mora manúic,n.,general
dead body,lac,n.,general
deadline,ahéri muddot,n.,general
deadly,morizaigói faredé,adj.,general
deaf,náfang,adj.,general
deafen,han náfang ófan gor,v.,general
deafen,han náfang gor,v.,general
deal,leenden,n.,general
deal,thiañ foisár leenden,n.,general
deal,diyatúa,n.,general
deal,sábbak,n.,general
deal,aáza,n.,general
deal,dhebbodh gas,n.,general
dealer,befari,n.,general
dealer,códoor,n.,general
dealing,leenden gorér,v.,general
dealing,leenden goróon,n.,general
dealing,hasharbar gorér,v.,general
dealing,solasol gorér,v.,general
dealt,leenden goijjé,v.,general
dealt,leenden gorá giyé,v.,general
dear,adoijja,adj.,general
death,moot,n.,general
debate,barábari,n.,general
debate,bohós,n.,general
debate,zibbat,n.,general
debate,monazera,n.,general
debate,bohósgorá,n.,general
debit,débith,n.,general
debit,góla,n.,general
debit card,dhebíth kaádh,n.,general
debris,báñgi hóraf óiyede thukuça óll,n.,general
debris,bángga sáta óll,n.,general
debt,hozzo,n.,general
debt,udár,n.,general
debt,korza,n.,general
debug,golti thíkgoroón,v.,general
debug,golti sóiyigoróon,v.,general
debut,foóila kucíc,n.,general
decade,doc bosóri muddot,n.,general
decease,fóut,n.,general
decease,moot,n.,general
deceit,dúka,n.,general
deceit,férokbazi,n.,general
deceit,dúkadoon,n.,general
deceitful,dúkabaz,adj.,general
deceitful,férokbaz,adj.,general
deceitfully,dúkabazi gorí,adv.,general
deceitfully,férokbazi gorí,adv.,general
deceive,bára,v.,general
deceive,dúkade,v.,general
deceive,férokbazigor,v.,general
deceive,thoçínaçi,v.,general
deceiver,bároya,n.,general
deceiver,dúkadouya,n.,general
deceiver,férokbaz goróya,n.,general
decency,córafot,n.,general
decency,sódakot,n.,general
decent,bála,adj.,general
decent,uzu,adj.,general
decent,cíyda,adj.,general
decent,sáf,adj.,general
decent,munaséf,adj.,general
decent,izzoti,adj.,general
decent,bóddoro,adj.,general
decent,etminani,adj.,general
decent,kobul gorázade mafot,adj.,general
decent,izzot gorázade,adj.,general
decent,ahálaki,adj.,general
decent,niyomor,adj.,general
decent,sóiyi ahálaki,adj.,general
decent,suñsa noóde,adj.,general
decent,ajíb míkka noóde,adj.,general
decently,ehetiyát gorí,adv.,general
decentralize,pawar borat goríde,v.,general
deceptive,bárade,adj.,general
deceptive,dúkadedé,adj.,general
deceptively,dúkadi,adv.,general
deceptively,báraiyoré,adv.,general
decibel,abas mafa,n.,general
decide,fáiselagor,v.,general
decide,fáisela goré,v.,general
decide,taigor,v.,general
decided,fáisela goijjé,v.,general
decided,fáisela gorágiye,v.,general
decided,fáisela goijjéde,adj.,general
decidedly,sáfsaf gorí,adv.,general
decidedly,sóiyi sóiyi gorí,adv.,general
deciding,fásela gorér,v.,general
deciding,fáisela goróon,v.,general
deciduous,fata zórede,adj.,general
decimal,doc borator ek borat,adj.,general
decimate,becábici nac óiye,v.,general
decimate,becábicí morigiyói,v.,general
decipher,hóraf lekáttu maáni neela,v.,general
decipher,luwaiya hotáttu maáni neela,v.,general
decision,fáisela,n.,general
decision,taigorá,n.,general
decisive,fáiseladedé,adj.,general
decisive,thík zuabdedé,adj.,general
decisively,thík zuabdi,adv.,general
deck,zaáñs or bisáni,n.,general
declaim,dorógori hotáhoó,v.,general
declaim,maincór sámme hoó,v.,general
declaration,elan,n.,general
declare,elangor,v.,general
declare,kyeñya gor,v. Burmese.,general
declared,elan goijjé,v.,general
declared,elan gorágiye,v.,general
decline,inkargor,v.,general
decline,damfore,v.,general
declined,inkar goijjé,v.,general
declined,noó hoiyé,v.,general
declined,rót goijjé,v.,general
decode,luwaya lekáttu maáni tul,v.,general
decorating,cloth zaa hoor,n.,general
decrease,homa,v.,general
decrease,home,v.,general
decry,ducde,v.,general
decry,hosúrude,v.,general
dedicated,háas,adj.,general
dedicated,moksús,adj.,general
dedicated,dhufáiya,adj.,general
dedicated,lagaiya,adj.,general
dedicated,góilla,adj.,general
dedicated,fori táikka,adj.,general
deed,amól,n.,general
deed,ham,n.,general
deed,hamgorá,n.,general
deed,hamaiyi,n.,general
deed,kaamiyabi,n.,general
deemed,mani loiyé,v.,general
deemed,mani luwa giyé,v.,general
deemed,híyal gorá giyé,v.,general
deemed,báfa giyé,v.,general
deemed,thóora giyé,v.,general
deep,mur,adj.,general
deep water spot,kum,n.,general
deepen,murgor,v.,general
deeply,murhai,adv.,general
deer,órin,n.,general
deer,hórin,n.,general
default,foóila loti toiyar goijjá,adj.,general
default,asási,adj.,general
defence,dofá,n.,general
defence,mockil ottú basoon,n.,general
defenceless,dofá sára,adj.,general
defenceless,bolsára,adj.,general
defenceless,modot sára,adj.,general
defenceless,héfazot sára,adj.,general
defend,dofá gor,v.,general
defense,militri dofá goróon,n.,general
define,maánigoré,v.,general
define,dóraza,v.,general
define,waazégoré,v.,general
define,huwáza,v.,general
define,luwaza,v.,general
define,taarifgoré,v.,general
define,zanaza,v.,general
define,zahérgoré,v.,general
define,buzáide,v.,general
define,boiyangoré,v.,general
define,mahaúd goré,v.,general
define,mochóc goré,v.,general
definite,zainna,adj.,general
definite,zana,adj.,general
definite article,taarif adát,n.,general
definite article,zainna hórof,n.,general
degree,dhigiri,n.,general
dehydration,gaar faní fúaiza,n.,general
dehydration,gaar fani homi,n.,general
dehydration,fanír homi,n.,general
dehydration,fanir gun homiza,n.,general
dehydration,gaar faní fúraiza,n.,general
delay,deri gor,v.,general
delay,fissá gor,v.,general
delaying,deri gorér,unknown,general
delaying,deri gorá,v.,general
delays,deri gorá ókkol,n.,general
delays,fissá gorá ókkol,n.,general
delegate,nomainda gor,v.,general
delegation,nomainda grúp,n.,general
delegation,nomainda jomát,n.,general
delegation,deligéicen,n.,general
delete,buzaiféla,v.,general
delete,haçiféla,v.,general
deleted,haçigiyói,v.,general
deliberately,zanifúni,adv.,general
deliberately,zaniyóre,adv.,general
deliver,foóñsái do,v.,general
delivered,foóñsái diyé,v.,general
delivered,foóñsái diya giyé,v.,general
delivering,foóñsair,v.,general
delivery,loizai do,n.,general
delivery,baicca do,n.,general
delivery,fua hálasi,n.,general
delivery,baço,n.,general
delta,niso tin kuinna zaga,n.,general
delta,tin kuinna,n.,general
demand,daabi,n.,general
demand,tokaza,n.,general
demand,tolob,n.,general
demand,mañga,n.,general
demand,mañgo,v.,general
demand,tolob gor,v.,general
demand,tokaza gor,v.,general
demand,húwaic,n.,general
democracy,dimukresi,n.,general
democracy,maincór hókumot,n.,general
demonstrate,muuzará gor,v.,general
demonstrate,sábut loi sáf sáf dahá,v.,general
demonstrate,prestís gor,v.,general
demonstrate,júlus neela,v.,general
demonstrated,muuzará goijjé,v.,general
demonstrated,sábut loi sáf sáf daháiye,v.,general
demonstrated,prestís goijjé,v.,general
demonstration,muuzará,n.,general
demonstration,sábut loi sáf sáf dahóon,n.,general
demonstration,prestís gorá,n.,general
denial,inkargorá,n.,general
denied,inkar goijjé,v.,general
denominational,muzaáb loiyóre,adj.,general
denote,dahá,v.,general
denote,zahérgor,v.,general
denote,icára gor,v.,general
denote,nicánade,v.,general
deny,inkargor,v.,general
deny,ocíkargor,v.,general
deny,noói hoó,v.,general
deny,nacíkargor,v.,general
deny,acíkargor,v.,general
deny,mani nolo,v.,general
deodorize,bac neelaiféla,v.,general
depart,alok ó,v.,general
department,difarmén,n.,general
department,máhakama,n.,general
department,idára,n.,general
department,bibák,n.,general
department,dhipaáthmén,n.,general
departmental,difármén ór,adj.,general
departure,rowana,n.,general
departure,neela,n.,general
departure,alokwá,n.,general
depend,darmadar,v.,general
depend,darmadar goré,v.,general
depend,muutegor,v.,general
depend,bórusa gor,v.,general
depend,tuakkol gor,v.,general
depend,nirbór gor,v.,general
depend,etemat gor,v.,general
depend,dipén,v.,general
dependent,bórdi soloya,n.,general
dependent,foriyar uore aséde,adj.,general
dependent,arekzon or uore bórdiya,adj.,general
dependent,namustokil,adj.,general
dependent,muútazde,adj.,general
dependent,taabedar,adj.,general
dependent,jagirdar,adj.,general
depending,bóurusá gorér,v.,general
depending,etemad gorér,v.,general
depict,boiyangor,v.,general
depict,cokóle dahá,v.,general
deploy,buwá gerá,v.,general
deployed,buwá gerái diyé,v.,general
deployed,buwá garái diyagiyé,v.,general
deployed,loizai sét goijjé,v.,general
deploying,buwá gerái der,v.,general
deploying,buwá garái doon,n.,general
deployment,buwá geráidoon,n.,general
depopulate,abadi homa,v.,general
depopulate,manúic homa,v.,general
deport,decórtu neelaide,v.,general
deport,decór baáre goríde,v.,general
depose,tobkartú lamaifél,v.,general
deposit,búra,n.,general
deposit,araura,n.,general
deposit,hosara,n.,general
deposit,ero,v.,general
deposit,thiañ zomaero,v.,general
deposit,kimoti jiníc zomaero,v.,general
deposit,zome,v.,general
deposit,meçi zome,v.,general
deprecate,estemal manágor,v.,general
deprecate,kimot homgor,v.,general
depreciate,kimot homa,v.,general
depress,than,v.,general
depress,sib,v.,general
depress,émmikka sib,v.,general
depress,frecangor,v.,general
depress,kimot homgor,v.,general
depress,mahárumi,adj.,general
depressed,frecan óiye,v.,general
depression,frecani,v.,general
depression,dilbór,n.,general
depression,monbór,n.,general
depression,udáci,n.,general
depression,demakbór,n.,general
depression,frecani,n.,general
depression,diprecén,n.,general
deprivation,maárum,n.,general
deprivation,mahárumi,n.,general
deprive,maárum gor,v.,general
deprive,hók nodo,v.,general
deprive,faadé jiníc loiféloon,v.,general
deprived,maárum goijjá,adj.,general
depth,mur,n.,general
depth,tol,n.,general
depth,bor,n.,general
depth,uwá,n.,general
depth,nise,n.,general
depth,émmikka,n.,general
depth,géra,n.,general
depth,bútormíkka,n.,general
depth,nisemikká,n.,general
depth,sotor,n.,general
deputy,naif,n.,general
derogatory,córom lagede,adj.,general
derogatory,fakka erada gor,adj.,general
derogatory,hóraf goréde,adj.,general
derogatory,beizzot óde,adj.,general
derogatory,jahélde,adj.,general
derogatory,izzot háni óde,adj.,general
descend,lam,v.,general
descend,émmikka lam,v.,general
descendant,fissán,n.,general
describe,boiyan gor,v.,general
describe,bataide,v.,general
describe,hondila bataide,v.,general
described,boiyan goijjé,v.,general
described,boiyan gorá giyé,v.,general
describing,boiyan gorér,v.,general
describing,boiyan goróon,v.,general
description,tofsil,n.,general
description,taarif,n.,general
description,boiyan,n.,general
description,karwaiyi tofsil,n.,general
desert,fúana zaga,n.,general
desert,manúic notákede zaga,n.,general
desert,balur moidan,n.,general
desert,registán,n.,general
deserve,laikká ói,v.,general
deserve,kaabel ói,v.,general
deserve,laayek ói,v.,general
design,dhízain gor,v.,general
design,dezáin,n.,general
designated,mokoror goijjé (v.,unknown,general
desire,mon,n.,general
desire,húwaic,n.,general
desire,tomonna,n.,general
desk,mes,n,general
desk,dekcó,n.,general
desk,désk,n.,general
desk,theból,n.,general
desk,ofís,n.,general
desk,lékéde mes,n.,general
desk,hánar mes,n.,general
despair,frecan,n. v.,general
despair,naummait,n.,general
despair,maiyus,n.,general
despair,dilmon háththa,n.,general
desperate,betab,adj.,general
desperate,maiyus,adj.,general
desperate,hótornak,adj.,general
desperate,bekarar,adj.,general
desperate,acására,adj.,general
desperate,frecani,adj.,general
desperate,beimmit,adj.,general
desperate,himmit sára,adj,general
desperate,na-ummit,adj.,general
despite,tóu údda,prep.,general
despite,óileyó,prep.,general
despite,baa ujud,prep.,general
destination,monzil,n.,general
destination,moksór ór zaga,n.,general
destination,foóñsibar zaga,n.,general
destination,ahéri rasta,n.,general
destination,gáñthi,n.,general
destination,moksót,n.,general
destroy,dónco gor,v.,general
destroy,fána gor,v.,general
destroy,tobágor,v.,general
destroy,nissónabud gor,v.,general
destroy,nacgor,v.,general
destroy,borbadgor,v.,general
destroy,hórafgor,v.,general
destroyed,tobá goijje,v.,general
destroyed,borbad goijjé,v.,general
destroyed,fána goijjé,v.,general
destroyed,tobá gorágiyé,v.,general
destroyer,nacgoré zaáñs,n.,general
detach,kúlifél,v.,general
detach,neelaifél,v.,general
detach,alokgorífél,v.,general
detachable,alokgorí faredé,adj.,general
detachable,neelaifélai faredé,adj.,general
detail,tofsil,n.,general
detail,añiyáguñya,n.,general
detailed,tofsil goijjá,adj.,general
detain,bongorí rak,v.,general
detain,dóri rak,v.,general
detain,zaitou nodo,v.,general
detain,neeiltou nodo,v.,general
detained,bon goijjé,v.,general
detained,dóri raikké,v.,general
detained,bon gora giyé,v.,general
detained,dóri raká giyé,v.,general
detainee,bondi,n.,general
detainee,hodi,n.,general
detainee,bongorí rakágiyéde manúic,n.,general
detect,tuai lootfaa,v.,general
detect,dórifar,v.,general
detect,ótgori fare,v.,general
detected,tuai lootfaaza,v.,general
detected,dórifarazaa,v.,general
detected,ótfaaza,v.,general
detention,bon,n.,general
deter,ruká,v.,general
deter,rukó,v.,general
deter,maná gor,v.,general
deter,hímmot homa,v.,general
detergent,sófaiyi goréde jiníc,n.,general
detergent,hosora sáfgoréde jiníc,n.,general
detergent,dak sáfgorede jiníc,n.,general
deteriorate,hóraf óiaiyér,v.,general
deteriorate,hóraf óizar,v.,general
deterioration,hóraf óon,n.,general
determination,mozbut fáisela,n.,general
determination,fakka erada,n.,general
determination,mozbut moksót,n.,general
determination,paabondi fáisela,n.,general
determine,mozbut fáisela gor,v.,general
determine,fakka erada gor,v.,general
determine,thíkgor,v.,general
determine,fáiselagoré,v.,general
determined,mozbut fáisela goijjé,v.,general
determined,fakka erada goijjé,v.,general
determined,mozbut fásela gorá giye,v.,general
determined,fakka erada gorá giyé,v.,general
determining,mozbut fáisela gorér,v.,general
determining,fakka erada gorer,v.,general
determining,mozbut fáisela goróon,n.,general
detonate,fúça,v.,general
detonate,barus fúça,v.,general
detonate,bomb fúça,v.,general
detonation,fúçoon,n.,general
detonation,barus fúçoon,n.,general
detonation,bomb fúçoon,n.,general
detonator,barus fúçoni,n.,general
detonator,bomb fúçoni,n.,general
detour,behañ rasta,n.,general
detour,gúraiya rasta,n.,general
detour,faikkáiyóre zoo,v.,general
detour,gúrigari zoo,v.,general
devastate,nacgorífél,v.,general
devastate,borbatgorífél,v.,general
devastating,nac óigiyoide,adj.,general
devastating,borbad óigiyoide,adj.,general
devastating,tobá óigiyóide,adj.,general
devastation,nacgorá,n.,general
devastation,tobágorá,n.,general
devastation,borbatgorá,n.,general
develop,torkigor,v.,general
developed,torki goijjé,v.,general
developed,torki gorágiyé,v.,general
developing,torki gorér,v.,general
developing,torki goróon,n.,general
development,torki,n.,general
device,hol,n.,general
device,dhiváis,n.,general
device,holorjiníc,n.,general
device,micín,n.,general
device,alaa,n.,general
devised,toiyar goijjé,v.,general
devised,toiyar goijjéde,adj.,general
devotion,díyandi lagitáka,n.,general
diabetic,siní biaram,n.,general
dialogue,hotábáttra,n.,general
diaphragm,foroda,n.,general
diaphragm,bárail,n.,general
diarrhea,gaa lamani biaram,n.,general
diarrhea,bicí baáre zade biaram,n.,general
dice,kundhi,n.,general
did,goijjé,v.,general
did,gorágiyé,v.,general
died,morigiyói,v.,general
died,maragiyé,v.,general
died,entekal óiye,v.,general
died,moot óiye,v.,general
died,cóhid óiye,v.,general
died,fúrai giyói,v.,general
died,duniyaittu fúra giyói,v.,general
died,Allahye loigiyói,v.,general
died,fóut óigiyói,v.,general
died,jan giyói,v.,general
diesel,dhizel,n.,general
diesel,dhizel tel,n.,general
difference,forók,n.,general
difference,ektelaf,n.,general
difference,tafásil,n.,general
difference,tafaud,n.,general
different,forók,adj.,general
different,alok,adj.,general
different,aléda,adj.,general
different,muktólif,adj.,general
different,dhooilla bodhoilla,adj.,general
different,bibínno,adj. Bangla.,general
differently,alok gorí,adv.,general
difficult,mockil,adj.,general
difficult,hothín,adj.,general
difficult,soktó,adj.,general
difficulty,mockilat,adj.,general
digestion,behózomi,n.,general
digging hoe,fóoñça,n.,general
digital,nombóri,adj.,general
dignity,córman,n.,general
dignity,izzot córman,n.,general
dignity,cáan,n.,general
dignity,taazim,n.,general
dignity,keramot,n.,general
dignity,moriyada,n.,general
dignity,boro,n.,general
dignity,mortaba,n.,general
dignity,buzorgí,n.,general
dignity,man,n.,general
dignity,morjada,n.,general
dignity,izzot húrmon,n.,general
dignity,gung,n. Burmese.,general
dignity,fohór,n.,general
dilated,dhoóñr ói giyói,v.,general
dilated,sérai giyói,v.,general
dilated,barí giyói,v.,general
dining,háibar,adj.,general
dining,hár,v.,general
dinner,bialor hána,n.,general
dinner,raitor hána,n.,general
direct,sída,adj.,general
direct,uzuzu,adj.,general
direct,dhaárik,adj.,general
direct,behañ noó,adj.,general
direct,alaatúl,adj.,general
direct,corácori,adj,general
direct,dharék,n.,general
direct,rasta dahá,v.,general
directed,rasta daháidiye,v.,general
directed,hédayot goijjé,v.,general
direction,mikká,n.,general
directly,sída,adv.,general
directly,uzuzu,adv.,general
director,darikthar,n.,general
director,dharikthar,n.,general
director,muútim sáb,n.,general
director of the company,kumpanir dhariktar,n.,general
dirty,hosora,adj.,general
dirty,gondá,adj.,general
dirty,moila,adj.,general
dirty,gondó,adj.,general
dirty,sáta óla,adj.,general
disabled,mazur,adj.,general
disabled,añtur,adj.,general
disabled,leng,adj.,general
disagree,razi nái,v.,general
disagree,nomani,v.,general
disagree,nomano,v.,general
disagree,nomane,v.,general
disagree,ektelaf gor,v.,general
disagree,ektelaf,n.,general
disagreement,ektelaf,n.,general
disagreement,ektelafi,n.,general
disappear,gaib ó,v.,general
disaster,bolamosibot,n.,general
disaster,mosibot,n.,general
disaster,afot,n.,general
disaster,tobáyi,n.,general
disaster,bola,n.,general
discard,cúçide,v.,general
discard,félaide,v,general
discard,hótomgor,v.,general
discard,hazot noláar,v.,general
discharge,lamaide,v.,general
discharge,hárej gor,v.,general
discharge,discáj gor,v.,general
discharge,mukti de,v.,general
discharge,nekas gor,v.,general
discharge,neelai de,v.,general
